"Sex of employee","Type of employment contract","Other characteristics employee","Industry class / branch (SIC2008)","Periods","Employment Jobs","Labour volume","Wage per job Hourly wage (euro)","Wage per job Monthly wages Monthly wage including overtime (euro)","Monthly wages Monthly wage excluding overtime (euro)","Yearly wage Yearly wage including bonuses (euro)","Yearly wage Yearly wage excluding special payments (euro)","Yearly wage Bonuses and allowances (euro)","Yearly wage Additional tax liability for company car (euro)","Working hours Per job per week including overtime (hour)","Per job per week excluding overtime (hour)","Per job per year (hour)","Per working year (hour)"
"Total","Total","Nationality: EU 14 (excluding Dutch)","A-U All economic activities","2009","164","134","21.33","2,632","2,588","36,920","31,580","5,340","420","32.4","31.8","1,456","1,783"
"Total","Total","Nationality: EU 14 (excluding Dutch)","A-U All economic activities","2010 after change of method","160","132","22.09","2,725","2,678","38,740","32,700","6,040","420","32.5","31.8","1,455","1,771"
"Total","Total","Nationality: EU 14 (excluding Dutch)","A-U All economic activities","2011","163","134","22.54","2,792","2,744","40,010","33,500","6,510","400","32.3","31.7","1,461","1,782"
"Total","Total","Nationality: EU 14 (excluding Dutch)","A-U All economic activities","2012","161","132","23.40","2,877","2,831","40,770","34,520","6,250","420","32.4","31.8","1,452","1,771"
"Total","Total","Nationality: EU 14 (excluding Dutch)","A-U All economic activities","2013","159","131","24.24","2,991","2,947","42,960","35,890","7,070","420","32.6","32.1","1,459","1,774"
"Total","Total","Nationality: EU 14 (excluding Dutch)","A-U All economic activities","2014","158","130","24.84","3,093","3,053","44,560","37,120","7,450","420","32.8","32.3","1,475","1,783"
"Total","Total","Nationality: EU 14 (excluding Dutch)","A-U All economic activities","2015","164","136","25.77","3,203","3,162","47,070","38,430","8,640","380","32.9","32.4","1,472","1,774"
"Total","Total","Nationality: EU 14 (excluding Dutch)","A-U All economic activities","2016","168","140","25.64","3,215","3,176","47,310","38,580","8,730","380","33.0","32.5","1,486","1,784"
"Total","Total","Nationality: EU 14 (excluding Dutch)","A-U All economic activities","2017","178","149","25.53","3,212","3,172","47,130","38,540","8,590","370","33.1","32.6","1,491","1,789"
"Total","Total","Nationality: EU 14 (excluding Dutch)","A-U All economic activities","2018","181","151","25.63","3,204","3,171","47,160","38,450","8,710","360","33.0","32.6","1,485","1,782"
"Total","Total","Nationality: EU 14 (excluding Dutch)","A-U All economic activities","2019","196","163","25.96","3,268","3,236","48,330","39,220","9,120","350","33.1","32.7","1,496","1,791"
"Total","Total","Nationality: EU 14 (excluding Dutch)","A-U All economic activities","2020","171","144","25.95","3,275","3,242","48,020","39,300","8,730","350","33.3","32.9","1,499","1,784"
"Total","Total","Nationality: EU 14 (excluding Dutch)","A-U All economic activities","2021","184","155","26.64","3,395","3,361","50,280","40,740","9,540","330","33.4","33.0","1,514","1,797"
"Total","Total","Nationality: EU 14 (excluding Dutch)","A-U All economic activities","2022","210","175","27.21","3,441","3,410","51,150","41,290","9,860","310","33.1","32.8","1,503","1,797"
"Total","Total","Nationality: EU 14 (excluding Dutch)","A-U All economic activities","2023","227","190","28.84","3,641","3,609","53,350","43,690","9,660","320","33.2","32.9","1,502","1,788"
"Total","Total","Nationality: EU 14 (excluding Dutch)","A-U All economic activities","2024","239","201","30.45","3,834","3,802","56,190","46,010","10,180","330","33.1","32.8","1,498","1,789"
"Total","Total","Nationality: EU 14 (excluding Dutch)","A-U All economic activities","2025*","252","210","31.69","3,949","3,915","58,040","47,390","10,650","340","32.9","32.6","1,483","1,779"
"Total","Total","Nationality: other EU countries","A-U All economic activities","2009","104","80","11.46","1,414","1,358","18,690","16,960","1,720","40","31.9","30.9","1,422","1,841"
"Total","Total","Nationality: other EU countries","A-U All economic activities","2010 after change of method","119","95","11.62","1,471","1,406","19,410","17,650","1,760","30","32.8","31.6","1,452","1,811"
"Total","Total","Nationality: other EU countries","A-U All economic activities","2011","141","113","11.75","1,500","1,430","19,750","18,000","1,750","30","32.9","31.5","1,461","1,825"
"Total","Total","Nationality: other EU countries","A-U All economic activities","2012","155","123","12.05","1,530","1,456","20,110","18,360","1,740","30","33.0","31.6","1,450","1,816"
"Total","Total","Nationality: other EU countries","A-U All economic activities","2013","163","130","12.29","1,564","1,481","20,490","18,770","1,720","30","33.2","31.6","1,447","1,814"
"Total","Total","Nationality: other EU countries","A-U All economic activities","2014","175","142","12.28","1,594","1,507","20,980","19,130","1,850","40","33.7","32.0","1,472","1,822"
"Total","Total","Nationality: other EU countries","A-U All economic activities","2015","194","157","12.56","1,621","1,531","21,220","19,450","1,770","40","33.6","31.9","1,462","1,811"
"Total","Total","Nationality: other EU countries","A-U All economic activities","2016","216","177","12.70","1,666","1,569","21,950","19,990","1,960","40","34.0","32.3","1,482","1,810"
"Total","Total","Nationality: other EU countries","A-U All economic activities","2017","249","204","12.87","1,713","1,608","22,580","20,560","2,020","40","34.4","32.6","1,499","1,827"
"Total","Total","Nationality: other EU countries","A-U All economic activities","2018","278","230","13.53","1,796","1,687","23,720","21,550","2,160","50","34.5","32.8","1,497","1,811"
"Total","Total","Nationality: other EU countries","A-U All economic activities","2019","306","254","14.06","1,869","1,762","24,730","22,430","2,310","50","34.5","32.8","1,504","1,818"
"Total","Total","Nationality: other EU countries","A-U All economic activities","2020","301","251","14.78","1,972","1,870","26,150","23,660","2,480","50","34.7","33.2","1,518","1,818"
"Total","Total","Nationality: other EU countries","A-U All economic activities","2021","325","275","15.12","2,050","1,942","27,330","24,600","2,730","50","35.0","33.5","1,541","1,826"
"Total","Total","Nationality: other EU countries","A-U All economic activities","2022","362","305","15.99","2,156","2,051","28,760","25,870","2,890","60","34.9","33.4","1,539","1,825"
"Total","Total","Nationality: other EU countries","A-U All economic activities","2023","371","315","17.64","2,376","2,269","31,640","28,520","3,130","70","35.0","33.7","1,544","1,816"
"Total","Total","Nationality: other EU countries","A-U All economic activities","2024","376","319","19.37","2,602","2,490","34,640","31,230","3,410","80","34.9","33.7","1,543","1,817"
"Total","Total","Nationality: other EU countries","A-U All economic activities","2025*","386","326","20.68","2,748","2,626","36,970","32,980","4,000","80","34.7","33.4","1,524","1,805"
"Total","Type of employment contract: part-time","Total","A-U All economic activities","2009","3,927","2,031","17.32","1,272","1,254","17,400","15,260","2,140","100","19.3","19.1","869","1,680"
"Total","Type of employment contract: part-time","Total","A-U All economic activities","2010 after change of method","3,969","2,033","17.83","1,282","1,267","17,560","15,380","2,180","110","19.0","18.8","853","1,665"
"Total","Type of employment contract: part-time","Total","A-U All economic activities","2011","4,134","2,133","17.98","1,318","1,298","18,130","15,820","2,310","100","19.2","19.0","866","1,679"
"Total","Type of employment contract: part-time","Total","A-U All economic activities","2012","4,169","2,164","18.45","1,350","1,330","18,490","16,200","2,290","110","19.3","19.1","865","1,668"
"Total","Type of employment contract: part-time","Total","A-U All economic activities","2013","4,126","2,153","18.77","1,374","1,361","18,810","16,490","2,320","100","19.5","19.3","870","1,667"
"Total","Type of employment contract: part-time","Total","A-U All economic activities","2014","4,134","2,168","18.77","1,392","1,374","18,950","16,700","2,250","100","19.6","19.4","879","1,676"
"Total","Type of employment contract: part-time","Total","A-U All economic activities","2015","4,211","2,223","19.06","1,423","1,406","19,350","17,080","2,280","90","19.8","19.6","885","1,677"
"Total","Type of employment contract: part-time","Total","A-U All economic activities","2016","4,254","2,264","19.08","1,442","1,427","19,710","17,300","2,410","90","20.0","19.8","898","1,687"
"Total","Type of employment contract: part-time","Total","A-U All economic activities","2017","4,445","2,394","19.30","1,484","1,472","20,330","17,810","2,520","100","20.3","20.1","915","1,699"
"Total","Type of employment contract: part-time","Total","A-U All economic activities","2018","4,571","2,483","19.73","1,522","1,510","20,780","18,260","2,520","110","20.4","20.3","918","1,690"
"Total","Type of employment contract: part-time","Total","A-U All economic activities","2019","4,690","2,571","20.17","1,579","1,567","21,550","18,950","2,600","120","20.6","20.5","932","1,701"
"Total","Type of employment contract: part-time","Total","A-U All economic activities","2020","4,633","2,599","21.12","1,691","1,681","23,150","20,300","2,850","130","21.2","21.1","955","1,703"
"Total","Type of employment contract: part-time","Total","A-U All economic activities","2021","4,703","2,649","21.46","1,732","1,721","23,670","20,780","2,890","140","21.2","21.1","962","1,708"
"Total","Type of employment contract: part-time","Total","A-U All economic activities","2022","4,898","2,753","22.21","1,791","1,780","24,580","21,490","3,090","140","21.2","21.1","962","1,711"
"Total","Type of employment contract: part-time","Total","A-U All economic activities","2023","4,970","2,816","23.89","1,933","1,923","26,430","23,200","3,230","160","21.4","21.3","966","1,704"
"Total","Type of employment contract: part-time","Total","A-U All economic activities","2024","5,034","2,865","25.70","2,089","2,078","28,510","25,060","3,450","180","21.5","21.4","970","1,705"
"Total","Type of employment contract: part-time","Total","A-U All economic activities","2025*","5,152","2,947","27.29","2,219","2,206","30,270","26,630","3,650","200","21.6","21.5","970","1,696"
